site_name,basin,subbasin,region,WaterYear,precip_total,sampsize,precip_total_z
South River Conway NWIS,West Brook,West Brook,Mass,2002,980.78,365,-1.0790572488249826
South River Conway NWIS,West Brook,West Brook,Mass,2003,1445.96,365,0.6622112288516919
South River Conway NWIS,West Brook,West Brook,Mass,2004,1308.88,366,0.14909139799069535
South River Conway NWIS,West Brook,West Brook,Mass,2005,1111.91,364,-0.5882095436834406
South River Conway NWIS,West Brook,West Brook,Mass,2006,1530.06,365,0.9770155604493705
South River Conway NWIS,West Brook,West Brook,Mass,2007,1269.8700000000001,365,0.003068603988014567
South River Conway NWIS,West Brook,West Brook,Mass,2008,1591.29,366,1.2062125785673954
South River Conway NWIS,West Brook,West Brook,Mass,2009,1314.2,364,0.16900529863397276
South River Conway NWIS,West Brook,West Brook,Mass,2010,1162.78,365,-0.3977922268181149
South River Conway NWIS,West Brook,West Brook,Mass,2011,1829.28,365,2.0970601752015408
South River Conway NWIS,West Brook,West Brook,Mass,2012,1234.34,366,-0.12992780387959063
South River Conway NWIS,West Brook,West Brook,Mass,2013,1383.9,364,0.4299073427761635
South River Conway NWIS,West Brook,West Brook,Mass,2014,1253.68,365,-0.05753403725534381
South River Conway NWIS,West Brook,West Brook,Mass,2015,1444,365,0.6548745286146948
South River Conway NWIS,West Brook,West Brook,Mass,2016,1019.94,366,-0.9324729726613067
South River Conway NWIS,West Brook,West Brook,Mass,2017,1277.16,364,0.03035663701235545
South River Conway NWIS,West Brook,West Brook,Mass,2018,1644.39,365,1.4049772635595095
South River Conway NWIS,West Brook,West Brook,Mass,2019,1356.81,365,0.3285036645005253
South River Conway NWIS,West Brook,West Brook,Mass,2020,1280.95,366,0.04454341961348734
South River Conway NWIS,West Brook,West Brook,Mass,2021,1551.77,364,1.0582807452173326
South River Conway NWIS,West Brook,West Brook,Mass,2022,1131.26,365,-0.5157783449151283
South River Conway NWIS,West Brook,West Brook,Mass,2023,1866.76,365,2.237355851162076
South River Harriston NWIS,Paine Run,Paine Run,Shen,1981,846.08,364,-0.9942324685680015
South River Harriston NWIS,Paine Run,Paine Run,Shen,1982,1105.69,365,0.031339217034371675
South River Harriston NWIS,Paine Run,Paine Run,Shen,1983,1067.54,365,-0.11936976877407418
South River Harriston NWIS,Paine Run,Paine Run,Shen,1984,1491.46,366,1.555297420319405
South River Harriston NWIS,Paine Run,Paine Run,Shen,1985,884.62,364,-0.8419828142283559
South River Harriston NWIS,Paine Run,Paine Run,Shen,1986,1050.28,365,-0.18755422736001828
South River Harriston NWIS,Paine Run,Paine Run,Shen,1987,1299.36,365,0.7964194078999448
South River Harriston NWIS,Paine Run,Paine Run,Shen,1988,897.08,366,-0.7927604298725698
South River Harriston NWIS,Paine Run,Paine Run,Shen,1989,1220.07,364,0.4831896442105179
South River Harriston NWIS,Paine Run,Paine Run,Shen,1990,981.9399999999999,365,-0.45752675921189695
South River Harriston NWIS,Paine Run,Paine Run,Shen,1991,1212,365,0.45130965691106456
South River Harriston NWIS,Paine Run,Paine Run,Shen,1992,1125.51,366,0.1096367818764
South River Harriston NWIS,Paine Run,Paine Run,Shen,1993,1120.06,364,0.0881069267609076
South River Harriston NWIS,Paine Run,Paine Run,Shen,1994,1198.39,365,0.39754427560430367
South River Harriston NWIS,Paine Run,Paine Run,Shen,1995,1133.48,365,0.1411217259627254
South River Harriston NWIS,Paine Run,Paine Run,Shen,1996,1549.8700000000001,366,1.7860421611076438
South River Harriston NWIS,Paine Run,Paine Run,Shen,1997,1023.07,364,-0.29504548565222777
South River Harriston NWIS,Paine Run,Paine Run,Shen,1998,1384.68,365,1.133470277341009
South River Harriston NWIS,Paine Run,Paine Run,Shen,1999,1041.29,365,-0.2230686122202523
South River Harriston NWIS,Paine Run,Paine Run,Shen,2000,1079.41,366,-0.0724781393757448
South River Harriston NWIS,Paine Run,Paine Run,Shen,2001,803.42,364,-1.1627579032885336
South River Harriston NWIS,Paine Run,Paine Run,Shen,2002,690.3,365,-1.6096307859792638
South River Harriston NWIS,Paine Run,Paine Run,Shen,2003,1770.18,365,2.656361863950596
South River Harriston NWIS,Paine Run,Paine Run,Shen,2004,1373.16,366,1.0879612991886292
South River Harriston NWIS,Paine Run,Paine Run,Shen,2005,874.81,364,-0.880736553436242
South River Harriston NWIS,Paine Run,Paine Run,Shen,2006,1162.16,365,0.25442011948792137
